short_name,rn_lambda1,rn_a0,rn_e1_deg
1,0.00,0.0655,2.0
2,0.00,0.1455,2.0
3,0.00,0.1555,2.0
4,0.00,0.1655,2.0
5,0.00,0.1755,2.0
6,0.00,0.1855,2.0
7,0.00,0.2655,2.0
8,0.00,0.3655,2.0
9,0.10,0.0655,2.0
10,0.10,0.1455,2.0
11,0.10,0.1555,2.0
12,0.10,0.1655,2.0
13,0.10,0.1755,2.0
14,0.10,0.1855,2.0
15,0.10,0.2655,2.0
16,0.10,0.3655,2.0
17,0.04,0.0655,2.0
18,0.04,0.1455,2.0
19,0.04,0.1555,2.0
20,0.04,0.1655,2.0
21,0.04,0.1755,2.0
22,0.04,0.1855,2.0
23,0.04,0.2655,2.0
24,0.04,0.3655,2.0
25,0.05,0.0655,2.0
26,0.05,0.1455,2.0
27,0.05,0.1555,2.0
28,0.05,0.1655,2.0
29,0.05,0.1755,2.0
30,0.05,0.1855,2.0
31,0.05,0.2655,2.0
32,0.05,0.3655,2.0
33,0.06,0.0655,2.0
34,0.06,0.1455,2.0
35,0.06,0.1555,2.0
ref,0.06,0.1655,2.0
37,0.06,0.1755,2.0
38,0.06,0.1855,2.0
39,0.06,0.2655,2.0
40,0.06,0.3655,2.0
41,0.07,0.0655,2.0
42,0.07,0.1455,2.0
43,0.07,0.1555,2.0
44,0.07,0.1655,2.0
45,0.07,0.1755,2.0
46,0.07,0.1855,2.0
47,0.07,0.2655,2.0
48,0.07,0.3655,2.0
49,0.08,0.0655,2.0
50,0.08,0.1455,2.0
51,0.08,0.1555,2.0
52,0.08,0.1655,2.0
53,0.08,0.1755,2.0
54,0.08,0.1855,2.0
55,0.08,0.2655,2.0
56,0.08,0.3655,2.0
